Starting_Column,Variable_Name,Field_Length
1,_STATE,2
17,FMONTH,2
19,IDATE,8
19,IMONTH,2
21,IDAY,2
23,IYEAR,4
32,DISPCODE,4
36,SEQNO,10
36,_PSU,10
63,CTELENM1,1
64,PVTRESD1,1
65,COLGHOUS,1
66,STATERE1,1
67,CELPHON1,1
68,LADULT1,1
69,NUMADULT,2
71,RESPSLC1,1
72,LANDSEX2,1
74,SAFETIME,1
75,CTELNUM1,1
76,CELLFON5,1
77,CADULT1,1
78,CELLSEX2,1
80,PVTRESD3,1
81,CCLGHOUS,1
82,CSTATE1,1
85,LANDLINE,1
86,HHADULT,2
88,SEXVAR,1
101,GENHLTH,1
102,PHYSHLTH,2
104,MENTHLTH,2
106,POORHLTH,2
108,PRIMINS1,2
110,PERSDOC3,1
111,MEDCOST1,1
112,CHECKUP1,1
113,EXERANY2,1
114,EXRACT12,2
116,EXEROFT1,3
119,EXERHMM1,3
122,EXRACT22,2
124,EXEROFT2,3
127,EXERHMM2,3
130,STRENGTH,3
133,BPHIGH6,1
134,BPMEDS1,1
135,CHOLCHK3,1
136,TOLDHI3,1
137,CHOLMED3,1
138,CVDINFR4,1
139,CVDCRHD4,1
140,CVDSTRK3,1
141,ASTHMA3,1
142,ASTHNOW,1
143,CHCSCNC1,1
144,CHCOCNC1,1
145,CHCCOPD3,1
146,ADDEPEV3,1
147,CHCKDNY2,1
148,HAVARTH4,1
149,DIABETE4,1
150,DIABAGE4,2
186,MARITAL,1
187,EDUCA,1
188,RENTHOM1,1
197,NUMHHOL4,1
198,NUMPHON4,1
199,CPDEMO1C,1
200,VETERAN3,1
201,EMPLOY1,1
202,CHILDREN,2
204,INCOME3,2
206,PREGNANT,1
207,WEIGHT2,4
211,HEIGHT3,4
215,DEAF,1
216,BLIND,1
217,DECIDE,1
218,DIFFWALK,1
219,DIFFDRES,1
220,DIFFALON,1
221,FALL12MN,2
223,FALLINJ5,2
225,SMOKE100,1
226,SMOKDAY2,1
227,USENOW3,1
228,ECIGNOW2,1
229,ALCDAY4,3
232,AVEDRNK3,2
234,DRNK3GE5,2
236,MAXDRNKS,2
238,FLUSHOT7,1
239,FLSHTMY3,6
245,PNEUVAC4,1
246,SHINGLE2,1
247,HIVTST7,1
248,HIVTSTD3,6
254,SEATBELT,1
255,DRNKDRI2,2
257,COVIDPO1,1
258,COVIDSM1,1
259,COVIDACT,1
260,PDIABTS1,1
261,PREDIAB2,1
262,DIABTYPE,1
263,INSULIN1,1
264,CHKHEMO3,2
266,EYEEXAM1,1
267,DIABEYE1,1
268,DIABEDU1,1
269,FEETSORE,1
270,ARTHEXER,1
271,ARTHEDU,1
272,LMTJOIN3,1
273,ARTHDIS2,1
274,JOINPAI2,2
276,LCSFIRST,3
279,LCSLAST,3
282,LCSNUMCG,3
285,LCSCTSC1,1
286,LCSSCNCR,1
287,LCSCTWHN,1
288,HADMAM,1
289,HOWLONG,1
290,CERVSCRN,1
291,CRVCLCNC,1
292,CRVCLPAP,1
293,CRVCLHPV,1
294,HADHYST2,1
295,PSATEST1,1
296,PSATIME1,1
297,PCPSARS2,1
298,PSASUGS1,1
299,PCSTALK2,1
300,HADSIGM4,1
301,COLNSIGM,1
302,COLNTES1,1
303,SIGMTES1,1
304,LASTSIG4,1
305,COLNCNCR,1
306,VIRCOLO1,1
307,VCLNTES2,1
308,SMALSTOL,1
309,STOLTEST,1
310,STOOLDN2,1
311,BLDSTFIT,1
312,SDNATES1,1
313,CNCRDIFF,1
314,CNCRAGE,2
316,CNCRTYP2,2
318,CSRVTRT3,1
319,CSRVDOC1,2
321,CSRVSUM,1
322,CSRVRTRN,1
323,CSRVINST,1
324,CSRVINSR,1
325,CSRVDEIN,1
326,CSRVCLIN,1
327,CSRVPAIN,1
328,CSRVCTL2,1
329,INDORTAN,3
332,NUMBURN3,3
335,SUNPRTCT,1
336,WKDAYOUT,2
338,WKENDOUT,2
340,CIMEMLO1,1
341,CDWORRY,1
342,CDDISCU1,1
343,CDHOUS1,1
344,CDSOCIA1,1
345,CAREGIV1,1
346,CRGVREL4,2
348,CRGVLNG1,1
349,CRGVHRS1,1
350,CRGVPRB3,2
352,CRGVALZD,1
353,CRGVPER1,1
354,CRGVHOU1,1
355,CRGVEXPT,1
356,LASTSMK2,2
358,STOPSMK2,1
359,MENTCIGS,1
360,MENTECIG,1
361,HEATTBCO,1
362,FIREARM5,1
363,GUNLOAD,1
364,LOADULK2,1
565,HASYMP1,1
566,HASYMP2,1
567,HASYMP3,1
568,HASYMP4,1
569,HASYMP5,1
570,HASYMP6,1
571,STRSYMP1,1
572,STRSYMP2,1
573,STRSYMP3,1
574,STRSYMP4,1
575,STRSYMP5,1
576,STRSYMP6,1
577,FIRSTAID,1
578,ASPIRIN,1
580,SOMALE,1
581,SOFEMALE,1
583,MARIJAN1,2
585,MARJSMOK,1
586,MARJEAT,1
587,MARJVAPE,1
588,MARJDAB,1
589,MARJOTHR,1
590,USEMRJN4,1
591,ACEDEPRS,1
592,ACEDRINK,1
593,ACEDRUGS,1
594,ACEPRISN,1
595,ACEDIVRC,1
596,ACEPUNCH,1
597,ACEHURT1,1
598,ACESWEAR,1
599,ACETOUCH,1
600,ACETTHEM,1
601,ACEHVSEX,1
602,ACEADSAF,1
603,ACEADNED,1
604,IMFVPLA4,2
606,HPVADVC4,1
607,HPVADSHT,2
609,TETANUS1,1
610,COVIDVA1,1
611,COVACGE1,1
612,COVIDNU2,1
613,LSATISFY,1
614,EMTSUPRT,1
615,SDLONELY,1
616,SDHEMPLY,1
617,FOODSTMP,1
618,SDHFOOD1,1
619,SDHBILLS,1
620,SDHUTILS,1
621,SDHTRNSP,1
622,SDHSTRE1,1
623,RRCLASS3,2
625,RRCOGNT2,1
626,RRTREAT,1
627,RRATWRK2,1
628,RRHCARE4,1
629,RRPHYSM2,1
636,RCSBORG1,1
670,RCSRLTN2,1
671,CASTHDX2,1
672,CASTHNO2,1
677,QSTVER,2
679,QSTLANG,2
1402,_METSTAT,1
1403,_URBSTAT,1
1409,MSCODE,1
1410,_STSTR,6
1416,_STRWT,10
1446,_RAWRAKE,10
1456,_WT2RAKE,10
1471,_IMPRACE,2
1482,_CHISPNC,1
1539,_CRACE1,2
1567,CAGEG,1
1583,_CLLCPWT,10
1680,_DUALUSE,1
1681,_DUALCOR,10
1691,_LLCPWT2,10
1749,_LLCPWT,10
1897,_RFHLTH,1
1898,_PHYS14D,1
1899,_MENT14D,1
1900,_HLTHPL1,1
1901,_HCVU653,1
1902,_TOTINDA,1
1903,METVL12_,3
1906,METVL22_,3
1909,MAXVO21_,5
1914,FC601_,5
1919,ACTIN13_,1
1920,ACTIN23_,1
1921,PADUR1_,3
1924,PADUR2_,3
1927,PAFREQ1_,5
1932,PAFREQ2_,5
1937,_MINAC12,5
1942,_MINAC22,5
1947,STRFREQ_,5
1952,PAMISS3_,1
1953,PAMIN13_,5
1958,PAMIN23_,5
1963,PA3MIN_,5
1968,PAVIG13_,5
1973,PAVIG23_,5
1978,PA3VIGM_,5
1983,_PACAT3,1
1984,_PAINDX3,1
1985,_PA150R4,1
1986,_PA300R4,1
1987,_PA30023,1
1988,_PASTRNG,1
1989,_PAREC3,1
1990,_PASTAE3,1
1991,_RFHYPE6,1
1992,_CHOLCH3,1
1993,_RFCHOL3,1
1994,_MICHD,1
1995,_LTASTH1,1
1996,_CASTHM1,1
1997,_ASTHMS1,1
1998,_DRDXAR2,1
2055,_MRACE1,2
2059,_HISPANC,1
2060,_RACE,1
2061,_RACEG21,1
2062,_RACEGR3,1
2063,_RACEPRV,1
2064,_SEX,1
2065,_AGEG5YR,2
2067,_AGE65YR,1
2068,_AGE80,2
2070,_AGE_G,1
2071,HTIN4,3
2074,HTM4,3
2077,WTKG3,5
2082,_BMI5,4
2086,_BMI5CAT,1
2087,_RFBMI5,1
2088,_CHLDCNT,1
2089,_EDUCAG,1
2090,_INCOMG1,1
2091,_SMOKER3,1
2092,_RFSMOK3,1
2093,_CURECI2,1
2094,DRNKANY6,1
2095,DROCDY4_,3
2098,_RFBING6,1
2099,_DRNKWK2,5
2104,_RFDRHV8,1
2105,_FLSHOT7,1
2106,_PNEUMO3,1
2107,_AIDTST4,1
2108,_RFSEAT2,1
2109,_RFSEAT3,1
2110,_DRNKDRV,1
